tanggal,waktu,kabupaten,populasi_terdampak,meninggal,luka_berat,luka_ringan,pengungsi,titik_pengungsian
2026-08-23,20.00 WIB,Sikka,"350,715",6,23,32,"18,672",9
2026-08-23,20.00 WIB,Manggarai Timur,"313,876",31,239,404,"31,372",246
2026-08-23,20.00 WIB,Manggarai,"340,153",32,32,104,"46,519",14
2026-08-23,20.00 WIB,Ngada,"176,462",5,17,19,"2,551",27
2026-08-23,20.00 WIB,Nagekeo,"170,669",14,13,9,"34,256",70
2026-08-23,20.00 WIB,Ende,"284,165",2,5,67,"3,775",25
2026-08-23,20.00 WIB,Manggarai Barat,"281,692",1,2,4,"24,729",9
