tanggal,waktu,kabupaten,populasi_terdampak,meninggal,luka_berat,luka_ringan,pengungsi,titik_pengungsian
2026-08-22,20.00 WIB,Sikka,"350,715",6,23,32,"17,587",9
2026-08-22,20.00 WIB,Manggarai Timur,"313,876",30,239,404,"31,372",246
2026-08-22,20.00 WIB,Manggarai,"340,153",31,32,104,"41,427",14
2026-08-22,20.00 WIB,Ngada,"176,462",4,17,19,"2,551",27
2026-08-22,20.00 WIB,Nagekeo,"170,669",13,13,9,"34,256",70
2026-08-22,20.00 WIB,Ende,"284,165",2,5,67,"3,429",25
2026-08-22,20.00 WIB,Manggarai Barat,"281,692",1,2,4,"19,954",9
