tanggal,waktu,kabupaten,populasi_terdampak,meninggal,luka_berat,luka_ringan,pengungsi,titik_pengungsian
2026-08-21,20.00 WIB,Sikka,"350,715",6,23,32,"7,104",9
2026-08-21,20.00 WIB,Manggarai Timur,"313,876",26,239,404,"19,803",246
2026-08-21,20.00 WIB,Manggarai,"340,153",27,32,104,"29,982",14
2026-08-21,20.00 WIB,Ngada,"176,462",2,17,19,"2,551",27
2026-08-21,20.00 WIB,Nagekeo,"170,669",13,13,9,"28,104",70
2026-08-21,20.00 WIB,Ende,"284,165",2,5,67,"3,298",25
2026-08-21,20.00 WIB,Manggarai Barat,"281,692",1,2,4,"5,603",9
