tanggal,kabupaten,nama_puskesmas,merah,kuning,hijau,hitam,total,diagnosis_catatan
2026-08-20,Sikka,Puskesmas Watubaing,0,0,5,0,5,
2026-08-20,Sikka,Puskesmas Palue,0,0,2,0,2,
2026-08-20,Sikka,Puskesmas Nita,0,0,2,0,2,
2026-08-20,Sikka,Puskesmas Wolofeo,0,0,2,0,2,
2026-08-20,Sikka,Puskesmas Paga,0,0,1,0,1,
2026-08-20,Sikka,Puskesmas Mapitara,0,0,1,0,1,
2026-08-20,Sikka,Puskesmas Wualadu,0,0,1,0,1,
2026-08-20,Sikka,Puskesmas Waigate,0,0,1,0,1,
2026-08-20,Manggarai Timur,Puskesmas Dampek,3,12,20,12,47,
2026-08-20,Manggarai Timur,Puskesmas Benteng Jawa,4,0,15,4,23,
2026-08-20,Manggarai Timur,Puskesmas Lempang Paji,1,0,22,0,23,
2026-08-20,Manggarai Timur,Puskesmas Elar,0,7,88,1,96,
2026-08-20,Manggarai Timur,Puskesmas Pota,0,4,7,7,18,
2026-08-20,Manggarai Timur,Puskesmas Weleng,0,3,5,5,13,
2026-08-20,Manggarai Timur,Puskesmas Lawir,0,3,41,0,44,
2026-08-20,Manggarai Timur,Puskesmas Bea Muring,0,3,41,0,44,
2026-08-20,Manggarai Timur,Puskesmas Mano,0,1,0,2,3,
2026-08-20,Manggarai Timur,Puskesmas Runus,0,1,4,0,5,
2026-08-20,Manggarai Timur,Puskesmas Wae Nenda,0,0,36,0,36,
2026-08-20,Manggarai Timur,Puskesmas Lenang,0,0,16,0,16,
2026-08-20,Manggarai Timur,Puskesmas Kisol,0,0,10,1,11,
2026-08-20,Manggarai,Puskesmas Reo,9,24,60,15,108,
2026-08-20,Manggarai,Puskesmas Pagal,3,3,0,1,7,
2026-08-20,Manggarai,Puskesmas Lemarang,1,0,10,0,11,
2026-08-20,Manggarai,Puskesmas Bangka Kenda,0,8,25,2,35,
2026-08-20,Manggarai,Puskesmas Bea Mese,0,6,57,2,65,
2026-08-20,Manggarai,Puskesmas Langke Majok,0,0,3,0,3,
2026-08-20,Manggarai,Puskesmas Ketang,0,8,8,0,16,
