tanggal,kabupaten,nama_puskesmas,merah,kuning,hijau,hitam,total,diagnosis_catatan
2026-08-20,Manggarai,Puskesmas Kota,0,4,3,0,7,
2026-08-20,Manggarai,Puskesmas Narang,0,3,0,0,3,
2026-08-20,Manggarai,Puskesmas Wae Cadi,0,0,115,0,115,
2026-08-20,Manggarai,Puskesmas Watu Alo,0,0,36,0,36,
2026-08-20,Manggarai,Puskesmas Timung,0,0,33,0,33,
2026-08-20,Manggarai,Puskesmas Nanu,0,0,6,0,6,
2026-08-20,Manggarai,Puskesmas Cancar,0,0,4,0,4,
2026-08-20,Manggarai,Puskesmas Wae Mbeleng,0,0,2,0,2,
2026-08-20,Manggarai,Puskesmas Wangko,0,0,1,0,1,
2026-08-20,Ngada,Puskesmas Lengkosambi,3,8,5,0,16,
2026-08-20,Ngada,Puskesmas Maronggela,0,0,184,0,184,
2026-08-20,Ngada,Puskesmas Riung,0,2,22,0,24,
2026-08-20,Ngada,Puskesmas Dona,0,2,13,0,15,
2026-08-20,Ngada,Puskesmas Natarandang,0,0,5,0,5,
2026-08-20,Ngada,Puskesmas Waepana,0,0,6,0,6,
2026-08-20,Ngada,Puskesmas Inelika Raya,0,0,3,0,3,
2026-08-20,Ngada,Puskesmas Soa,0,0,2,0,2,
2026-08-20,Ngada,Puskesmas Kota,0,0,1,0,1,
2026-08-20,Nagekeo,Puskesmas Boawae,0,6,9,0,15,
2026-08-20,Nagekeo,Puskesmas Jawakisa,0,2,0,0,2,
2026-08-20,Nagekeo,Puskesmas Maukeli,0,0,2,0,2,
2026-08-20,Nagekeo,Puskesmas Nangaroro,0,0,2,0,2,
2026-08-20,Nagekeo,Puskesmas Mauponggo,0,0,1,0,1,
2026-08-20,Nagekeo,Puskesmas Maunori,0,0,1,0,1,
2026-08-20,Ende,Puskesmas Mukusaki,1,2,0,0,3,
2026-08-20,Ende,Puskesmas Maurole,0,7,16,0,23,
2026-08-20,Ende,Puskesmas Maukaro,0,3,23,0,26,
2026-08-20,Ende,Puskesmas Detusoko,0,1,0,0,1,
2026-08-20,Ende,Puskesmas Rewarangga,0,0,49,0,49,
2026-08-20,Ende,Puskesmas Wolowaru,0,0,34,0,34,
2026-08-20,Ende,Puskesmas Peibenga,0,0,5,0,5,
2026-08-20,Ende,Puskesmas Ndona,0,0,4,0,4,
2026-08-20,Ende,Puskesmas Moni,0,0,2,0,2,
2026-08-20,Ende,Puskesmas Kota Ratu,0,0,32,0,32,
2026-08-20,Ende,Puskesmas Kota Ende,0,0,2,0,2,
2026-08-20,Ende,Puskesmas Nangapanda,0,0,1,0,1,
2026-08-20,Ende,Puskesmas Kotabaru,0,0,18,0,18,
2026-08-20,Manggarai Barat,Puskesmas Tentang,1,2,24,0,27,
2026-08-20,Manggarai Barat,Puskesmas Golo Welu,0,7,0,0,7,
2026-08-20,Manggarai Barat,Puskesmas Ranggu,0,5,22,0,27,
2026-08-20,Manggarai Barat,Puskesmas Nanga Terang,0,3,17,0,20,
2026-08-20,Manggarai Barat,Puskesmas Compang,0,2,2,0,4,
2026-08-20,Manggarai Barat,Puskesmas Orong,0,1,25,0,26,
2026-08-20,Manggarai Barat,Puskesmas Waning,0,1,4,0,5,
2026-08-20,Manggarai Barat,Puskesmas Lengkong Cepang,0,2,10,0,12,
2026-08-20,Manggarai Barat,Puskesmas Wae Nakeng,0,1,1,0,2,
2026-08-20,Manggarai Barat,Puskesmas Datak,0,0,21,0,21,
2026-08-20,Manggarai Barat,Puskesmas Kakor,0,0,10,0,10,
2026-08-20,Manggarai Barat,Puskesmas Nangalili,0,0,7,0,7,
2026-08-20,Manggarai Barat,Puskesmas Golo Mori,0,0,7,0,7,
2026-08-20,Manggarai Barat,Puskesmas Bari,0,0,7,0,7,
2026-08-20,Manggarai Barat,Puskesmas Terang,0,0,4,0,4,
2026-08-20,Manggarai Barat,Puskesmas Labuan Bajo,0,0,3,0,3,
2026-08-20,Manggarai Barat,Puskesmas Wae Pitak,0,0,2,1,3,
2026-08-20,Manggarai Barat,Puskesmas Rego,0,0,1,0,1,
2026-08-20,Manggarai Barat,Puskesmas Benteng,0,0,1,0,1,
