tanggal,waktu,kabupaten,populasi_terdampak,meninggal,luka_berat,luka_ringan,pengungsi,titik_pengungsian
2026-08-17,20.00 WIB,Sikka,"345,319",3,6,15,"1,694",6
2026-08-17,20.00 WIB,Manggarai Timur,"313,876",25,162,404,"19,330",246
2026-08-17,20.00 WIB,Manggarai,"340,153",23,27,26,"2,078",0
2026-08-17,20.00 WIB,Ngada,"176,462",1,7,19,"1,333",27
2026-08-17,20.00 WIB,Nagekeo,"170,669",7,4,9,440,4
2026-08-17,20.00 WIB,Ende,"284,165",2,4,22,"2,717",23
2026-08-17,20.00 WIB,Manggarai Barat,"281,692",1,2,4,"1,603",9
