tanggal,kabupaten,nama_puskesmas,merah,kuning,hijau,hitam,total,diagnosis_catatan
2026-08-19,Sikka,Puskesmas Watubaing,0,1,6,0,7,
2026-08-19,Sikka,Puskesmas Palue,0,0,2,0,2,
2026-08-19,Sikka,Puskesmas Nita,0,0,1,0,1,
2026-08-19,Sikka,Puskesmas Wolofeo,0,0,2,0,2,
2026-08-19,Sikka,Puskesmas Paga,0,0,2,0,2,
2026-08-19,Sikka,Puskesmas Mapitara,0,0,1,0,1,
2026-08-19,Sikka,Puskesmas Wualadu,0,0,1,0,1,
2026-08-19,Sikka,Puskesmas Waigate,0,0,1,0,1,
2026-08-19,Sikka,Puskesmas Boganatar,0,0,3,0,3,
2026-08-19,Sikka,Puskesmas Lelekebai,0,2,1,0,3,
2026-08-19,Sikka,Puskesmas Bola,0,0,3,0,3,
2026-08-19,Sikka,Puskesmas Magepanda,0,1,6,0,7,
2026-08-19,Sikka,Puskesmas Wolowarang,0,0,1,0,1,
2026-08-19,Manggarai Timur,Puskesmas Dampek,4,12,60,12,88,
2026-08-19,Manggarai Timur,Puskesmas Benteng Jawa,4,0,15,4,23,
2026-08-19,Manggarai Timur,Puskesmas Lempang Paji,1,1,20,0,22,
2026-08-19,Manggarai Timur,Puskesmas Elar,7,2,88,1,98,
2026-08-19,Manggarai Timur,Puskesmas Pota,1,1,63,6,71,
2026-08-19,Manggarai Timur,Puskesmas Weleng,0,4,5,3,12,
2026-08-19,Manggarai Timur,Puskesmas Lawir,3,8,95,0,106,
2026-08-19,Manggarai Timur,Puskesmas Bea Muring,0,4,35,1,40,
2026-08-19,Manggarai Timur,Puskesmas Mano,0,3,3,2,8,
2026-08-19,Manggarai Timur,Puskesmas Wae Nenda,0,0,36,0,36,
2026-08-19,Manggarai Timur,Puskesmas Lenang,3,9,9,0,21,
2026-08-19,Manggarai Timur,Puskesmas Kisol,0,0,0,1,1,
2026-08-19,Manggarai Timur,Puskesmas Tilir,0,0,8,0,8,
2026-08-19,Manggarai Timur,Puskesmas Borong,2,0,0,0,2,
2026-08-19,Manggarai,Puskesmas Reo,9,24,60,15,108,
2026-08-19,Manggarai,Puskesmas Pagal,6,3,46,1,56,
2026-08-19,Manggarai,Puskesmas Lemarang,4,25,10,0,39,
2026-08-19,Manggarai,Puskesmas Bangka Kenda,1,7,25,2,35,
2026-08-19,Manggarai,Puskesmas Bea Mese,1,6,57,2,66,
2026-08-19,Manggarai,Puskesmas Langke Majok,1,0,3,0,4,
2026-08-19,Manggarai,Puskesmas Ketang,0,8,8,0,16,
2026-08-19,Manggarai,Puskesmas Kota,0,4,3,0,7,
2026-08-19,Manggarai,Puskesmas Narang,0,3,0,0,3,
2026-08-19,Manggarai,Puskesmas Wae Cadi,1,0,201,0,202,
2026-08-19,Manggarai,Puskesmas Watu Alo,0,0,36,0,36,
2026-08-19,Manggarai,Puskesmas Timung,5,0,27,0,32,
2026-08-19,Manggarai,Puskesmas Nanu,0,0,6,0,6,
2026-08-19,Manggarai,Puskesmas Cancar,0,0,4,0,4,
2026-08-19,Manggarai,Puskesmas Wae Mbeleng,0,0,2,0,2,
2026-08-19,Manggarai,Puskesmas Wangko,0,0,1,0,1,
2026-08-19,Ngada,Puskesmas Lengkosambi,0,0,1,0,1,
2026-08-19,Ngada,Puskesmas Maronggela,1,4,0,0,5,
2026-08-19,Ngada,Puskesmas Riung,0,2,22,0,24,
2026-08-19,Ngada,Puskesmas Dona,0,2,13,0,15,
2026-08-19,Ngada,Puskesmas Natarandang,0,0,5,0,5,
2026-08-19,Ngada,Puskesmas Waepana,0,0,3,0,3,
2026-08-19,Ngada,Puskesmas Inelika Raya,0,0,3,0,3,
2026-08-19,Ngada,Puskesmas Soa,0,0,2,0,2,
2026-08-19,Ngada,Puskesmas Kota,0,0,1,0,1,
2026-08-19,Nagekeo,Puskesmas Boawae,6,2,0,1,9,
2026-08-19,Nagekeo,Puskesmas Jawakisa,0,1,2,0,3,
2026-08-19,Nagekeo,Puskesmas Maukeli,0,0,2,0,2,
2026-08-19,Nagekeo,Puskesmas Nangaroro,1,0,2,0,3,
2026-08-19,Nagekeo,Puskesmas Mauponggo,0,0,2,0,2,
2026-08-19,Nagekeo,Puskesmas Kota,0,0,2,0,2,
2026-08-19,Nagekeo,Puskesmas Kaburea,0,1,0,0,1,
2026-08-19,Ende,Puskesmas Mukusaki,1,2,0,0,3,
2026-08-19,Ende,Puskesmas Maurole,0,0,1,0,1,
2026-08-19,Ende,Puskesmas Maukaro,0,3,23,0,26,
2026-08-19,Ende,Puskesmas Detusoko,0,1,0,0,1,
2026-08-19,Ende,Puskesmas Rewarangga,0,0,4,0,4,
2026-08-19,Ende,Puskesmas Wolowaru,0,0,1,0,1,
2026-08-19,Ende,Puskesmas Ndona,0,0,4,0,4,
2026-08-19,Ende,Puskesmas Moni,0,0,2,0,2,
