tanggal,kabupaten,nama_puskesmas,merah,kuning,hijau,hitam,total,diagnosis_catatan
2026-08-19,Ende,Puskesmas Kota Ratu,0,0,1,0,1,
2026-08-19,Ende,Puskesmas Kota Ende,0,0,2,0,2,
2026-08-19,Ende,Puskesmas Nangapanda,0,0,1,0,1,
2026-08-19,Ende,Puskesmas Watunggere,0,0,4,0,4,
2026-08-19,Manggarai Barat,Puskesmas Golo Welu,0,7,0,0,7,
2026-08-19,Manggarai Barat,Puskesmas Nanga Terang,1,4,0,1,6,
2026-08-19,Manggarai Barat,Puskesmas Compang,0,2,2,0,4,
2026-08-19,Manggarai Barat,Puskesmas Orong,0,5,3,0,8,
2026-08-19,Manggarai Barat,Puskesmas Wae Nakeng,0,1,1,0,2,
2026-08-19,Manggarai Barat,Puskesmas Bari,0,1,0,0,1,
2026-08-19,Manggarai Barat,Puskesmas Terang,0,0,4,0,4,
2026-08-19,Manggarai Barat,Puskesmas Labuan Bajo,0,0,6,0,6,
2026-08-19,Manggarai Barat,Puskesmas Wae Pitak,0,0,2,1,3,
2026-08-19,Manggarai Barat,Puskesmas Rego,0,0,1,0,1,
2026-08-19,Manggarai Barat,Puskesmas Benteng,0,0,1,0,1,
2026-08-19,Manggarai Barat,Puskesmas Werang,0,1,2,0,3,
2026-08-19,Manggarai Barat,Puskesmas Pacar,0,0,2,0,2,
