tanggal,waktu,kabupaten,populasi_terdampak,meninggal,luka_berat,luka_ringan,pengungsi,titik_pengungsian
2026-08-20,20.00 WIB,Sikka,"350,715",6,23,32,"1,972",9
2026-08-20,20.00 WIB,Manggarai Timur,"313,876",26,239,404,"19,330",246
2026-08-20,20.00 WIB,Manggarai,"340,153",27,32,104,"10,083",14
2026-08-20,20.00 WIB,Ngada,"176,462",2,17,19,"1,333",27
2026-08-20,20.00 WIB,Nagekeo,"170,669",13,13,9,"6,221",70
2026-08-20,20.00 WIB,Ende,"284,165",2,5,67,"3,144",25
2026-08-20,20.00 WIB,Manggarai Barat,"281,692",1,2,4,"1,603",9
