tanggal,kabupaten,nama_puskesmas,merah,kuning,hijau,hitam,total,diagnosis_catatan
2026-08-21,Ngada,Puskesmas Inelika Raya,0,0,51,0,51,
2026-08-21,Ngada,Puskesmas Soa,0,0,2,0,2,
2026-08-21,Ngada,Puskesmas Kota,0,0,71,0,71,
2026-08-21,Ngada,Puskesmas Ngara,0,4,3,0,7,
2026-08-21,Nagekeo,Puskesmas Boawae,2,2,5,0,9,
2026-08-21,Nagekeo,Puskesmas Jawakisa,0,0,4,0,4,
2026-08-21,Nagekeo,Puskesmas Maukeli,0,0,1,0,1,
2026-08-21,Nagekeo,Puskesmas Nangaroro,0,1,2,0,3,
2026-08-21,Nagekeo,Puskesmas Maunori,0,0,1,0,1,
2026-08-21,Nagekeo,Puskesmas Kota,0,0,3,0,3,
2026-08-21,Nagekeo,Puskesmas Kaburea,0,1,0,0,1,
2026-08-21,Ende,Puskesmas Mukusaki,0,0,57,0,57,
2026-08-21,Ende,Puskesmas Maurole,0,7,16,0,23,
2026-08-21,Ende,Puskesmas Maukaro,0,3,23,0,26,
2026-08-21,Ende,Puskesmas Detusoko,1,2,10,0,13,
2026-08-21,Ende,Puskesmas Rewarangga,0,0,25,0,25,
2026-08-21,Ende,Puskesmas Wolowaru,0,0,34,0,34,
2026-08-21,Ende,Puskesmas Peibenga,0,0,5,0,5,
2026-08-21,Ende,Puskesmas Ndona,0,0,4,0,4,
2026-08-21,Ende,Puskesmas Moni,0,1,3,0,4,
2026-08-21,Ende,Puskesmas Kota Ratu,0,0,42,0,42,
2026-08-21,Ende,Puskesmas Kota Ende,0,0,131,0,131,
2026-08-21,Ende,Puskesmas Nangapanda,0,0,1,0,1,
2026-08-21,Ende,Puskesmas Kotabaru,0,0,7,0,7,
2026-08-21,Ende,Puskesmas Labaniki,0,0,24,0,24,
2026-08-21,Ende,Puskesmas Maubasa,0,0,6,0,6,
2026-08-21,Ende,Puskesmas Wolojita,0,0,24,0,24,
2026-08-21,Ende,Puskesmas Watunggere,0,4,0,0,4,
2026-08-21,Ende,Puskesmas Onekore,0,0,45,0,45,
2026-08-21,Ende,Puskesmas Ngalupolo,0,0,3,0,3,
2026-08-21,Ende,Puskesmas Ahmad Yani,0,0,22,0,22,
2026-08-21,Manggarai Barat,Puskesmas Tentang,1,2,24,0,27,
2026-08-21,Manggarai Barat,Puskesmas Golo Welu,0,7,0,0,7,
2026-08-21,Manggarai Barat,Puskesmas Ranggu,0,5,22,0,27,
2026-08-21,Manggarai Barat,Puskesmas Nanga Terang,0,0,10,0,10,
2026-08-21,Manggarai Barat,Puskesmas Orong,0,1,25,0,26,
2026-08-21,Manggarai Barat,Puskesmas Waning,0,1,15,0,16,
2026-08-21,Manggarai Barat,Puskesmas Lengkong Cepang,0,0,10,0,10,
2026-08-21,Manggarai Barat,Puskesmas Wae Nakeng,0,0,596,0,596,
2026-08-21,Manggarai Barat,Puskesmas Datak,0,0,21,0,21,
2026-08-21,Manggarai Barat,Puskesmas Kakor,0,0,10,0,10,
2026-08-21,Manggarai Barat,Puskesmas Nangalili,0,0,13,0,13,
2026-08-21,Manggarai Barat,Puskesmas Golo Mori,0,0,7,0,7,
2026-08-21,Manggarai Barat,Puskesmas Bari,0,0,115,0,115,
2026-08-21,Manggarai Barat,Puskesmas Terang,0,0,14,0,14,
2026-08-21,Manggarai Barat,Puskesmas Wae Pitak,0,1,12,0,13,
2026-08-21,Manggarai Barat,Puskesmas Rego,0,0,1,0,1,
2026-08-21,Manggarai Barat,Puskesmas Benteng,0,0,24,0,24,
2026-08-21,Manggarai Barat,Puskesmas Werang,0,0,21,0,21,
2026-08-21,Manggarai Barat,Puskesmas Pacar,0,0,38,0,38,
2026-08-21,Manggarai Barat,Puskesmas Wae Kanta,0,0,120,0,120,
