tanggal,kabupaten,nama_puskesmas,merah,kuning,hijau,hitam,total,diagnosis_catatan
2026-08-21,Sikka,Puskesmas Watubaing,0,0,3,0,3,
2026-08-21,Sikka,Puskesmas Palue,0,1,2,0,3,
2026-08-21,Sikka,Puskesmas Nita,0,0,2,0,2,
2026-08-21,Sikka,Puskesmas Wolofeo,0,0,2,0,2,
2026-08-21,Sikka,Puskesmas Paga,0,0,1,0,1,
2026-08-21,Sikka,Puskesmas Mapitara,0,0,1,0,1,
2026-08-21,Sikka,Puskesmas Wualadu,0,0,1,0,1,
2026-08-21,Sikka,Puskesmas Waigate,0,0,1,0,1,
2026-08-21,Sikka,Puskesmas Boganatar,0,0,2,0,2,
2026-08-21,Sikka,Puskesmas Hewokloang,0,0,1,0,1,
2026-08-21,Sikka,Puskesmas Bola,0,0,2,0,2,
2026-08-21,Sikka,Puskesmas Beru,0,0,1,0,1,
2026-08-21,Sikka,Puskesmas Magepanda,0,1,6,0,7,
2026-08-21,Manggarai Timur,Puskesmas Dampek,2,10,10,12,34,
2026-08-21,Manggarai Timur,Puskesmas Benteng Jawa,0,115,22,1,138,
2026-08-21,Manggarai Timur,Puskesmas Lempang Paji,1,1,4,0,6,
2026-08-21,Manggarai Timur,Puskesmas Elar,0,8,22,0,30,
2026-08-21,Manggarai Timur,Puskesmas Pota,1,4,0,0,5,
2026-08-21,Manggarai Timur,Puskesmas Weleng,3,1,300,4,308,
2026-08-21,Manggarai Timur,Puskesmas Lawir,1,3,41,0,45,
2026-08-21,Manggarai Timur,Puskesmas Bea Muring,0,1,21,1,23,
2026-08-21,Manggarai Timur,Puskesmas Mano,0,1,11,2,14,
2026-08-21,Manggarai Timur,Puskesmas Runus,0,0,4,0,4,
2026-08-21,Manggarai Timur,Puskesmas Wae Nenda,0,2,33,0,35,
2026-08-21,Manggarai Timur,Puskesmas Lenang,0,0,7,0,7,
2026-08-21,Manggarai Timur,Puskesmas Kisol,0,0,23,2,25,
2026-08-21,Manggarai Timur,Puskesmas Waelengga,0,0,36,0,36,
2026-08-21,Manggarai Timur,Puskesmas Watunggong,0,0,6,0,6,
2026-08-21,Manggarai Timur,Puskesmas Mamba,0,0,2,0,2,
2026-08-21,Manggarai Timur,Puskesmas Lalang,0,0,12,0,12,
2026-08-21,Manggarai Timur,Puskesmas Tilir,0,0,11,0,11,
2026-08-21,Manggarai Timur,Puskesmas Sita,0,0,8,0,8,
2026-08-21,Manggarai,Puskesmas Reo,1,14,69,18,102,
2026-08-21,Manggarai,Puskesmas Pagal,1,1,5,1,8,
2026-08-21,Manggarai,Puskesmas Lemarang,1,0,10,0,11,
2026-08-21,Manggarai,Puskesmas Bangka Kenda,0,0,141,0,141,
2026-08-21,Manggarai,Puskesmas Bea Mese,0,0,0,2,2,
2026-08-21,Manggarai,Puskesmas Langke Majok,0,0,3,0,3,
2026-08-21,Manggarai,Puskesmas Ketang,0,8,8,0,16,
2026-08-21,Manggarai,Puskesmas Kota,0,0,129,0,129,
2026-08-21,Manggarai,Puskesmas Wae Cadi,0,0,106,0,106,
2026-08-21,Manggarai,Puskesmas Watu Alo,0,0,60,0,60,
2026-08-21,Manggarai,Puskesmas Timung,0,0,33,0,33,
2026-08-21,Manggarai,Puskesmas Nanu,0,0,314,0,314,
2026-08-21,Manggarai,Puskesmas Cancar,0,0,8,0,8,
2026-08-21,Manggarai,Puskesmas Wae Mbeleng,0,0,2,0,2,
2026-08-21,Manggarai,Puskesmas Wangko,0,0,189,0,189,
2026-08-21,Manggarai,Puskesmas Todo,9,0,5,0,14,
2026-08-21,Manggarai,Puskesmas Iteng,0,1,12,0,13,
2026-08-21,Manggarai,Puskesmas Anam,0,0,11,0,11,
2026-08-21,Ngada,Puskesmas Lengkosambi,0,1,19,0,20,
2026-08-21,Ngada,Puskesmas Maronggela,0,0,184,0,184,
2026-08-21,Ngada,Puskesmas Riung,2,0,143,0,145,
2026-08-21,Ngada,Puskesmas Dona,1,0,11,0,12,
2026-08-21,Ngada,Puskesmas Natarandang,0,0,5,0,5,
2026-08-21,Ngada,Puskesmas Waepana,0,0,211,0,211,
