tanggal,kabupaten,nama_puskesmas,merah,kuning,hijau,hitam,total,diagnosis_catatan
2026-08-18,Sikka,Puskesmas Paga,0,1,2,0,3,
2026-08-18,Sikka,Puskesmas Mapitara,0,0,1,0,1,
2026-08-18,Sikka,Puskesmas Boganatar,0,0,4,0,4,
2026-08-18,Sikka,Puskesmas Bola,0,1,0,0,1,
2026-08-18,Sikka,Puskesmas Batu Baing,0,1,5,0,6,
2026-08-18,Sikka,Puskesmas Tuanggeo,0,0,1,0,1,
2026-08-18,Manggarai Timur,Puskesmas Wae Nenda,0,0,1,0,1,
2026-08-18,Nagekeo,Puskesmas Boawae,0,4,0,0,4,
2026-08-18,Nagekeo,Puskesmas Jawakisa,0,1,1,0,2,
2026-08-18,Nagekeo,Puskesmas Maukeli,0,0,3,0,3,
2026-08-18,Nagekeo,Puskesmas Nangaroro,1,0,2,0,3,
2026-08-18,Nagekeo,Puskesmas Mauponggo,0,0,2,0,2,
