tanggal,kabupaten,nama_puskesmas,merah,kuning,hijau,hitam,total,diagnosis_catatan
2026-08-23,Sikka,Puskesmas Watubaing,0,0,3,0,3,
2026-08-23,Sikka,Puskesmas Palue,0,0,2,0,2,
2026-08-23,Sikka,Puskesmas Nita,0,0,2,0,2,
2026-08-23,Sikka,Puskesmas Wolofeo,0,0,2,0,2,
2026-08-23,Sikka,Puskesmas Paga,0,0,1,0,1,
2026-08-23,Sikka,Puskesmas Mapitara,0,0,1,0,1,
2026-08-23,Sikka,Puskesmas Wualadu,0,0,1,0,1,
2026-08-23,Sikka,Puskesmas Waigate,0,0,1,0,1,
2026-08-23,Sikka,Puskesmas Boganatar,0,0,4,0,4,
2026-08-23,Sikka,Puskesmas Hewokloang,0,0,1,0,1,
2026-08-23,Sikka,Puskesmas Kopeta,0,0,0,0,0,
2026-08-23,Sikka,Puskesmas Lekebai,0,0,0,0,0,
2026-08-23,Sikka,Puskesmas Bola,0,0,1,0,1,
2026-08-23,Sikka,Puskesmas Nelle,0,0,0,0,0,
2026-08-23,Sikka,Puskesmas Nanga,0,0,0,0,0,
2026-08-23,Sikka,Puskesmas Beru,0,0,1,0,1,
2026-08-23,Sikka,Puskesmas Koting,0,0,3,0,3,
2026-08-23,Sikka,Puskesmas Magepanda,0,1,6,0,7,Kuning: anemia dan sesak napas.
2026-08-23,Manggarai Timur,Puskesmas Benteng Jawa,1,3,0,0,4,
2026-08-23,Manggarai Timur,Puskesmas Dampek,4,2,8,0,14,
2026-08-23,Manggarai Timur,Puskesmas Elar,0,8,22,0,30,
2026-08-23,Manggarai Timur,Puskesmas Lempang Paji,2,2,5,0,9,
2026-08-23,Manggarai Timur,Puskesmas Bea Muring,1,1,7,0,9,kuning: 1 orang diagnosa Hemiparise Sinestra susp...
2026-08-23,Manggarai Timur,Puskesmas Lawir,2,2,26,1,31,
2026-08-23,Manggarai Timur,Puskesmas Pota,0,3,2,0,5,
2026-08-23,Manggarai Timur,Puskesmas Weleng,0,0,0,0,0,Masih pelayanan
2026-08-23,Manggarai Timur,Puskesmas Kisol,0,0,34,0,34,
2026-08-23,Manggarai Timur,Puskesmas Lenang,0,0,12,0,12,
2026-08-23,Manggarai Timur,Puskesmas Mano,0,0,50,0,50,
2026-08-23,Manggarai Timur,Puskesmas Runus,0,0,5,0,5,
2026-08-23,Manggarai Timur,Puskesmas Wae Nenda,0,2,33,0,35,
2026-08-23,Manggarai Timur,Puskesmas Waelengga,1,1,2,0,4,
2026-08-23,Manggarai Timur,Puskesmas Watunggong,0,0,1,0,1,
2026-08-23,Manggarai Timur,Puskesmas Borong,0,1,3,0,4,
2026-08-23,Manggarai Timur,Puskesmas Lalang,0,0,12,0,12,
2026-08-23,Manggarai Timur,Puskesmas Mamba,0,0,2,0,2,
2026-08-23,Manggarai Timur,Puskesmas Mombok,0,0,22,0,22,
2026-08-23,Manggarai Timur,Puskesmas Sita,0,0,21,0,21,
2026-08-23,Manggarai Timur,Puskesmas Tilir,0,0,59,0,59,"kemarin , Nifas 3,bumil 1,Partus 1,gigitan anjing..."
2026-08-23,Manggarai,Puskesmas Timung,0,0,33,0,33,
2026-08-23,Manggarai,Puskesmas Nanu,0,0,77,0,77,
2026-08-23,Manggarai,Puskesmas Cancar,0,0,2,0,2,Hipertensi dengan trauma tumpul (observasi).
2026-08-23,Manggarai,Puskesmas Wangko,0,0,2,0,2,
2026-08-23,Manggarai,Puskesmas Iteng,0,0,1,0,1,
2026-08-23,Manggarai,Puskesmas Anam,0,0,11,0,11,
2026-08-23,Manggarai,Puskesmas Dintor,0,1,0,1,2,Kuning: postpartum.
2026-08-23,Ngada,Puskesmas Lengkosambi,0,0,7,0,7,
2026-08-23,Ngada,Puskesmas Maronggela,0,1,1,0,2,Kuning: GEA tanpa dehidrasi.
2026-08-23,Ngada,Puskesmas Riung,0,0,5,0,5,
2026-08-23,Ngada,Puskesmas Dona,0,0,5,0,5,
2026-08-23,Ngada,Puskesmas Natarandang,0,0,5,0,5,
2026-08-23,Ngada,Puskesmas Waepana,0,1,12,0,13,Kuning: dyspepsia.
2026-08-23,Ngada,Puskesmas Soa,0,0,2,0,2,
2026-08-23,Ngada,Puskesmas Kota&#039;,0,0,45,0,45,
2026-08-23,Ngada,Puskesmas Ngara,0,4,3,0,7,
2026-08-23,Ngada,Puskesmas Wolowiu,0,0,0,0,0,
2026-08-23,Ngada,Puskesmas Rawangkalo,0,0,30,0,30,
2026-08-23,Ngada,Lindi,0,0,8,0,8,
2026-08-23,Ngada,Puskesmas Watumanu,1,2,2,0,5,Merah: kejang demam. Kuning: diare akut; gastritis...
2026-08-23,Ngada,Puskesmas Surisina,0,2,118,0,120,Kuning: LBP; post trauma.
2026-08-23,Ngada,Puskesmas Boba,0,0,4,0,4,
2026-08-23,Ngada,Puskesmas Inerie,0,0,1,0,1,
2026-08-23,Ngada,Puskesmas Ladja,0,3,0,0,3,Kuning: HT; observasi febris; ekstraksi kuku.
2026-08-23,Nagekeo,Puskesmas Boawae,1,3,7,0,11,Merah: dyspneu ec asma eksaserbasi akut derajat be...
2026-08-23,Nagekeo,Puskesmas Jawakisa,0,1,0,0,1,"Kuning: gigitan anjing, belum vaksin."
2026-08-23,Nagekeo,Puskesmas Maukeli,0,0,2,0,2,
2026-08-23,Nagekeo,Puskesmas Nangaroro,0,1,2,0,3,Kuning: susp TB + DM tipe 2.
2026-08-23,Nagekeo,Puskesmas Mauponggo,0,0,0,0,0,
2026-08-23,Nagekeo,Puskesmas Maunori,0,2,1,0,3,"Kuning: gigitan anjing, belum vaksin."
2026-08-23,Nagekeo,Puskesmas Kota&#039;,0,0,3,0,3,
2026-08-23,Nagekeo,Puskesmas Kaburea,0,1,0,0,1,Kuning: dysphagia; malignant neoplasm of tongue.
2026-08-23,Ende,Puskesmas Mukusaki,0,0,57,0,57,
2026-08-23,Ende,Puskesmas Maurole,0,0,37,0,37,
2026-08-23,Ende,Puskesmas Maukaro,0,3,23,0,26,
2026-08-23,Ende,Puskesmas Detusoko,1,2,0,0,3,Merah: partus dengan PEB. Kuning: gastritis.
2026-08-23,Ende,Puskesmas Rewarangga,0,0,0,0,0,
2026-08-23,Ende,Puskesmas Wolowaru,0,0,34,0,34,
2026-08-23,Ende,Puskesmas Peibenga,0,0,5,0,5,
2026-08-23,Ende,Puskesmas Dona,0,0,46,0,46,
2026-08-23,Ende,Puskesmas Moni,0,0,10,0,10,
2026-08-23,Ende,Puskesmas Kota Ratu,0,0,1,0,1,
